cycle,grade,type,title,year,venue_or_status,url,relevance,next_action
1,A,measurement,"An Analysis of QUIC Connection Migration in the Wild",2025,"ACM SIGCOMM Computer Communication Review 55(1)",https://arxiv.org/abs/2410.06066,"Anchor related work; Internet-wide CM support scan; failure reasons not fully classified","Use as primary related work and gap statement"
1,A,standard,"QUIC: A UDP-Based Multiplexed and Secure Transport",2021,"RFC 9000",https://www.rfc-editor.org/rfc/rfc9000.html,"Normative CM mechanism: CID, path validation, disable_active_migration, preferred address","Use in background and maturity rubric"
1,A,mobile-handover,"mQUIC: Use of QUIC for Handover Support with Connection Migration in Wireless/Mobile Networks",2023,"IEEE Communications Magazine",https://ieeexplore.ieee.org/document/10268842/,"Mobile Wi-Fi/5G handover using QUIC CM; modified Chromium/QUICHE implementation","Compare with our Android Chrome/custom-client experiment design"
1,B,middlebox,"When QUIC's Connection Migration Meets Middleboxes: A case study on mobile Wi-Fi hotspot",2021,"IEEE GLOBECOM",https://ieeexplore.ieee.org/document/9685048/,"Middlebox/hotspot deployment friction for QUIC CM","Use as deployment-path risk; inspect full paper if accessible"
1,B,proactive-migration,"Proactive Connection Migration in QUIC",2020,"MobiQuitous",https://dl.acm.org/doi/10.1145/3448891.3448900,"CM as proactive network/path selection, not only failure recovery","Use to distinguish passive/active/proactive migration"
1,B,edge-server-migration,"Server-side QUIC connection migration to support microservice deployment at the edge",2022,"Pervasive and Mobile Computing",https://dl.acm.org/doi/10.1016/j.pmcj.2022.101580,"Server-side migration and edge service continuity use-case","Use to separate client CM, server CM, preferred address, and LB"
1,B,security-privacy,"QUICstep: Evaluating connection migration based QUIC censorship circumvention",2026,"Proceedings on Privacy Enhancing Technologies 2026(1)",https://arxiv.org/abs/2304.01073,"CM as censorship-circumvention primitive and wild-support measurement tool","Use in security/privacy related work and operational reluctance discussion"
1,B,security-misuse,"QUIC-Exfil: Exploiting QUIC's Server Preferred Address Feature to Perform Data Exfiltration Attacks",2025,"ACM ASIACCS",https://arxiv.org/abs/2505.05292,"Preferred-address/server-side migration misuse; firewall manageability risk","Use as reason CM/preferred-address may be operationally sensitive"
1,Watch,draft,"Managing multiple paths for a QUIC connection",2026,"IETF QUIC WG draft",https://quicwg.org/multipath/draft-ietf-quic-multipath.html,"Multipath builds on CM but differs from single-path migration","Track in Cycle 3; use to avoid conflating multipath and CM"
1,Watch,draft,"QUIC New Server Preferred Address",2025,"IETF Internet-Draft",https://www.ietf.org/archive/id/draft-munizaga-quic-new-preferred-address-00.html,"Extension for server-requested migration to new preferred address","Track for server-side CM future work"
1,Watch,draft,"Connection Migration in QUIC",2020,"Expired IETF Internet-Draft",https://datatracker.ietf.org/doc/html/draft-tan-quic-connection-migration-00,"Taxonomy: active/passive, vertical/horizontal, client/server, single/multipath","Use terminology carefully; not normative"
2,A,standard,"Applicability of the QUIC Transport Protocol",2022,"RFC 9308",https://www.rfc-editor.org/rfc/rfc9308.html,"Operational caveats: NAT rebinding, UDP timeout, zero-length CID, 4-tuple LB risks","Use to justify deployment maturity as separate from transport implementation"
2,A,standard,"Manageability of the QUIC Transport Protocol",2022,"RFC 9312",https://www.rfc-editor.org/rfc/rfc9312.html,"Wire image and encrypted control signaling constrain middleboxes and monitoring","Use in why-CM-is-hard deployment discussion"
2,A,draft,"QUIC-LB: Generating Routable QUIC Connection IDs",2025,"IETF QUIC WG draft",https://datatracker.ietf.org/doc/html/draft-ietf-quic-load-balancers,"CID-based server routing for low-state load balancers during migration","Use as basis for AWS NLB and CID-aware routing experiment"
2,A,measurement,"QUIC Hunter: Finding QUIC Deployments and Identifying Server Libraries Across the Internet",2024,"PAM",https://zirngibl.github.io/publication/2024-03-11-QUIC-Hunter-Finding-QUIC-Deployments-and-Identifying-Server-Libraries-Across-the-Internet,"Internet-wide QUIC server library identification and implementation diversity","Use to justify implementation-specific maturity survey"
2,A,implementation-diversity,"Same Standards, Different Decisions: A Study of QUIC and HTTP/3 Implementation Diversity",2020,"ACM EPIQ",https://doi.org/10.1145/3405796.3405828,"Shows QUIC/H3 stacks differ even under same standard; motivates root-cause implementation analysis","Use as methods precedent for comparing implementation behavior"
2,A,observability,"Debugging QUIC and HTTP/3 with qlog and qvis",2020,"ACM ANRW",https://doi.org/10.1145/3404868.3406663,"Structured endpoint logging for complex QUIC behavior analysis","Use to require qlog/path-event evidence in experiments"
2,A,cloud-deployment,"Introducing QUIC Protocol Support for Network Load Balancer",2025,"AWS Blog",https://aws.amazon.com/blogs/networking-and-content-delivery/introducing-quic-protocol-support-for-network-load-balancer-accelerating-mobile-first-applications/,"AWS NLB QUIC passthrough uses CID Server ID to maintain stickiness when 5-tuples change","Use as primary AWS deployment target and experiment motivation"
2,A,cloud-deployment,"What is a Network Load Balancer?",2026,"AWS Docs",https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html,"AWS docs distinguish UDP flow hash from QUIC Server ID based routing","Use for deployment architecture section"
2,A,cloud-deployment,"CloudFront UpdateDistribution HTTP/3 connection migration note",2026,"AWS Docs",https://docs.aws.amazon.com/cloudfront/latest/APIReference/API_UpdateDistribution.html,"CloudFront supports viewer-edge HTTP/3 connection migration","Use to separate edge-level continuity from end-to-end origin CM"
2,B,cdn-proxy,"Cloudflare HTTP/3 docs",2026,"Cloudflare Docs",https://developers.cloudflare.com/speed/optimization/protocol/http3/,"HTTP/3 setting applies user-to-Cloudflare; HTTP/3 to origin not supported","Use as CDN termination example"
2,B,proxy,"HAProxy 3.2 Configuration Manual HTTP/3 note",2026,"HAProxy Docs",https://docs.haproxy.org/3.2/configuration.html,"HAProxy supports HTTP/3 over QUIC but currently does not support QUIC connection migration","Use as negative deployment-control candidate"
2,A,client-browser,"Cronet ConnectionMigrationOptions",2023,"Android Developers",https://developer.android.com/develop/connectivity/cronet/reference/org/chromium/net/ConnectionMigrationOptions,"Client-side CM policy knobs for default network migration, path degradation, idle migration, and non-default network usage","Use to design later Android/Cronet controlled experiment"
2,A,implementation-docs,"quic-go Connection Migration documentation",2026,"quic-go Docs",https://quic-go.net/docs/quic/connection-migration/,"Public AddPath/Probe/Switch model, qlog-friendly direct-origin baseline","Use to explain quic-go local and EC2 experiment design"
2,A,implementation-docs,"quiche Connection API documentation",2026,"docs.rs",https://docs.rs/quiche/latest/quiche/struct.Connection.html,"migrate_source, migrate, probe_path, PathEvent, qlog APIs","Use to explain quiche as cross-check implementation"
2,A,implementation-docs,"Deploying MsQuic",2026,"MsQuic Docs",https://microsoft.github.io/msquic/msquicdocs/docs/Deployment.html,"Client migration generally supported but LB deployments require QUIC-aware CID routing; LoadBalancingMode not default","Use in production/LB maturity section and future MsQuic tests"
2,B,adoption,"Measuring HTTP/3: Adoption and Performance",2021,"arXiv / Computer Communications",https://arxiv.org/abs/2102.12358,"HTTP/3 adoption and performance vary by provider and network condition","Use to avoid equating HTTP/3 adoption with CM adoption"
2,B,deployment-measurement,"Waiting for QUIC: Passive Measurements to Understand QUIC Deployments",2025,"PACMNET / CoNEXT",https://arxiv.org/html/2209.00965v2,"CID structure reveals load balancer deployment and hypergiant configuration differences","Use to support CID/LB as deployment-maturity axis"
2,B,edge-load-balancing,"QDSR: QUIC-based Direct Server Return for Object Delivery",2024,"USENIX ATC",https://www.usenix.org/system/files/atc24-wei.pdf,"Discusses client-side limitation of RFC 9000 CM and compares server-side migration/stream handoff for LB","Use to separate client CM, server CM, and LB routing"
2,B,privacy-security,"MIMIQ: Masking IPs with Migration in QUIC",2020,"USENIX FOCI",https://www.usenix.org/system/files/foci20-paper-govil.pdf,"Uses CM for IP hopping/privacy and highlights routing/return-path coordination needs","Use as security/privacy adjacent work"
2,B,middlebox-security,"Secure Middlebox-Assisted QUIC",2023,"IFIP Networking",https://arxiv.org/abs/2307.08543,"Shows QUIC encryption and middlebox deployment tension; proposes explicit middlebox assistance","Use in operational reluctance and middlebox discussion"
2,B,load-balancer-security,"Count Me If You Can: Enumerating QUIC Servers Behind Load Balancers",2021,"ECEASST",https://eceasst.org/index.php/eceasst/article/download/2255/2427/2438,"CID and load-balancer behavior can leak server-count information","Use as risk of CID-aware routing design"
2,C,proxy-performance,"Performance Comparison of HTTP/3 and HTTP/2: Proxy vs. Non-Proxy Environments",2024,"arXiv preprint",https://arxiv.org/html/2409.16267v2,"Discusses HTTP/3 and migration under proxy conditions but peer-review status needs confirmation","Use only as tentative supporting source after validation"
2,Watch,cellular-architecture,"EnCoR: An end-to-end architecture for simplifying cellular networks",2026,"arXiv preprint",https://arxiv.org/html/2605.22524v2,"Recent cellular handover architecture with QUIC application performance angle","Revisit in Cycle 3 for mobile-network framing"
2,Watch,interactive-media,"Accelerating QUIC Migration for Ultra-Low-Latency Interactive Media",2026,"ACM",https://dl.acm.org/doi/10.1145/3798065.3798080,"Recent low-latency media work mentioning QUIC migration benefits","Check full paper access and relevance in Cycle 3"
2,Watch,cli-client,"HTTP/3 / QUIC connection migration does not appear to work",2021,"curl issue #7695",https://github.com/curl/curl/issues/7695,"Practical sign that HTTP/3 CLI support does not automatically mean user-visible CM continuity","Use cautiously as motivation, not peer-reviewed evidence"
3,A,cellular-architecture,"EnCoR: An end-to-end architecture for simplifying cellular networks",2026,"arXiv preprint",https://arxiv.org/html/2605.22524v2,"Most relevant latest counterexample and application-workload adjacent work; evaluates QUIC and non-QUIC real apps under handover","Use in final related work and gap"
3,A,draft,"Managing multiple paths for a QUIC connection",2026,"IETF QUIC WG draft-ietf-quic-multipath-21",https://datatracker.ietf.org/doc/html/draft-ietf-quic-multipath-21,"Multipath is nearing standardization; smoother handover is possible but single-path migration remains for NAT rebinding and preferred address","Use to distinguish RFC9000 CM from multipath"
3,B,draft,"QUIC Extension for Server-Initiated Connection Migration",2026,"Individual Internet-Draft",https://datatracker.ietf.org/doc/html/draft-kozuka-quic-server-migration-00,"Server-initiated migration proposal; security section and open questions remain immature","Use as future work not core baseline"
3,B,draft,"QUIC Alternative Server Address Frames",2026,"Individual Internet-Draft",https://datatracker.ietf.org/doc/html/draft-munizaga-quic-alternative-server-address-00,"Replaces new preferred address draft; server advertises alternative/preferred addresses and security considerations include request forgery and DDoS","Use to update preferred-address discussion"
3,B,draft,"QUIC Address Discovery",2025,"Expired QUIC WG Internet-Draft",https://datatracker.ietf.org/doc/html/draft-ietf-quic-address-discovery-00,"Endpoint public address and NAT awareness extension; expired but shows path discovery remains unsettled","Watch only"
3,B,draft,"QUIC Path Management for Multi-Path Configurations",2026,"Individual Experimental Internet-Draft",https://datatracker.ietf.org/doc/html/draft-gage-quic-pathmgmt-06,"Alternative path management decoupled from connection management; includes disable_path_migration and path validation procedures","Use as adjacent work"
3,B,draft-proxy,"QUIC-Aware Proxying Using HTTP",2026,"IETF MASQUE draft",https://datatracker.ietf.org/doc/html/draft-ietf-masque-quic-proxy-08,"Proxy forwarded mode needs explicit migration and preferred-address handling","Use in proxy deployment gap"
3,A,observability,"qlog: Structured Logging for Network Protocols",2026,"IETF qlog draft",https://quicwg.org/qlog/draft-ietf-quic-qlog-main-schema.html,"Tuple and path logging for migration and multipath supports qlog evidence design","Use in methods"
3,A,client-browser,"Android ConnectionMigrationOptions.Builder",2026,"Android API reference",https://developer.android.com/reference/android/net/http/ConnectionMigrationOptions.Builder,"Platform API exposes default-network, path-degradation, and non-default network migration policy; notes metered-network cost","Use in Android/Cronet experiment design"
3,A,client-browser,"Chromium QUIC context migration policy",2026,"Chromium source",https://chromium.googlesource.com/chromium/src/+/master/net/quic/quic_context.h,"Browser stack policy flags for network-change, path-degradation, idle, port, and server migration","Use in browser policy maturity"
3,A,client-browser,"Chromium QUIC client session migration hooks",2026,"Chromium source",https://chromium.googlesource.com/chromium/src/+/refs/heads/main/net/quic/quic_chromium_client_session.h,"MigrateToSocket and network-change hooks plus preferred-address validation path","Use in browser implementation evidence"
3,B,proxy-performance,"Performance Comparison of HTTP/3 and HTTP/2 with Proxy Integration",2024,"arXiv preprint v3",https://arxiv.org/html/2409.16267v3,"Controlled proxy/migration benchmark; H3 quiche outperforms H2 during IP changes but peer-review status is unclear","Use cautiously as adjacent performance evidence"
3,Watch,interactive-media,"SwiftShift: Accelerating QUIC Migration for Ultra-Low-Latency Interactive Media",2026,"ACM NOSSDAV",https://dl.acm.org/doi/10.1145/3798065.3798080,"Recent media-specific migration acceleration; full text not yet reviewed","Track for final related work"
3,Watch,proactive-migration,"Enhancing QUIC Performance in Heterogeneous Networks: A Proactive Connection Migration Approach",2025,"International Journal of Network Management",https://onlinelibrary.wiley.com/doi/10.1002/nem.70022,"PCM-QUIC in heterogeneous Wi-Fi/cellular networks; access limited in current pass","Track if full text available"
3,Watch,performance,"Performance Evaluation of Quick User Datagram Protocol Internet Connections",2025,"ACM",https://dl.acm.org/doi/full/10.1145/3759179.3760448,"Recent QUIC performance paper mentioning network switching and migration; not central yet","Check relevance before citing"
4,A,experiment-design,"An Analysis of QUIC Connection Migration in the Wild",2025,"ACM CCR / arXiv",https://arxiv.org/html/2410.06066v1,"Anchor paper confirms CM support is uneven and explicitly leaves reason analysis and preferred-address extension open","Use to justify our failure-layer experiment design"
4,A,application-continuity,"EnCoR: An end-to-end architecture for simplifying cellular networks",2026,"arXiv preprint",https://arxiv.org/html/2605.22524v2,"Reports a passive QUIC mobility edge case where applications can fail if the mobile client has no data to send after IP change","Add downlink-dominant workload to experiments"
4,A,deployment-cloud,"AWS NLB QUIC protocol support",2025,"AWS Blog",https://aws.amazon.com/blogs/networking-and-content-delivery/introducing-quic-protocol-support-for-network-load-balancer-accelerating-mobile-first-applications/,"NLB requires an 8-byte Server ID encoded in QUIC CID for routing","Use as primary AWS deployment experiment"
4,A,deployment-cloud,"AWS Network Load Balancer documentation",2026,"AWS Docs",https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html,"QUIC routing uses CID Server ID after initial 5-tuple selection","Use to define NLB success criteria"
4,A,negative-control,"HAProxy configuration manual HTTP/3 and QUIC note",2026,"HAProxy Docs",https://docs.haproxy.org/2.8/configuration.html,"Official docs state HTTP/3 runs over QUIC but HAProxy currently does not support QUIC connection migration","Use as negative control"
4,A,limited-control,"CloudFront distribution settings HTTP/3 migration note",2026,"AWS Docs",https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/DownloadDistValuesGeneral.html,"CloudFront supports viewer-edge HTTP/3 connection migration","Use as edge-only limited control"
4,A,limited-control,"Cloudflare HTTP/3 docs",2026,"Cloudflare Docs",https://developers.cloudflare.com/speed/optimization/protocol/http3/,"Cloudflare states HTTP/3 is for user-to-Cloudflare and HTTP/3 to origin is not yet supported","Use to separate CDN edge continuity from origin CM"
4,B,deployment-measurement,"Waiting for QUIC: Passive Measurements to Understand QUIC Deployments",2025,"PACMNET / CoNEXT / arXiv",https://arxiv.org/html/2209.00965v2,"Shows structured SCIDs and load-balancer deployment signals among hypergiants","Use to motivate CID-aware LB axis"
4,B,service-migration,"Empirical Evaluation of QUIC-Based Software-Defined Service Migration in MEC over 5G Networks",2025,"Journal of Network and Systems Management",https://link.springer.com/article/10.1007/s10922-025-09909-0,"Adjacent edge/service migration work; minimizes connection migration time via SDN/controller planning","Use as adjacent server/service migration work, not core"
4,B,security-manageability,"QUIC-Exfil: Exploiting QUIC's Server Preferred Address Feature",2025,"ACM ASIACCS / arXiv",https://arxiv.org/abs/2505.05292,"Shows preferred-address/server-side migration can be abused and firewall vendors struggle to distinguish benign/malicious migrations","Use in manageability and operational reluctance discussion"
4,B,security-privacy,"QUICstep: Evaluating connection migration based QUIC censorship circumvention",2026,"PoPETs",https://petsymposium.org/popets/2026/popets-2026-0014.php,"Uses CM for censorship circumvention and as a CM support measurement idea","Use as security/privacy adjacent work"
4,B,security-privacy,"MIMIQ: Masking IPs with Migration in QUIC",2020,"USENIX FOCI",https://www.usenix.org/conference/foci20/presentation/govil,"Uses CM to change client IPs within connections without disrupting transfers","Use as privacy use-case and operational sensitivity evidence"
4,C,application-qoe,"Video Streaming Over QUIC: A Comprehensive Study",2025,"arXiv",https://arxiv.org/abs/2505.21769,"QUIC implementation/QoE study for video streaming but not focused on connection migration","Use only as workload-selection background"
4,Watch,media-migration,"SwiftShift: Accelerating QUIC Migration for Ultra-Low-Latency Interactive Media",2026,"ACM NOSSDAV",https://dl.acm.org/doi/10.1145/3798065.3798080,"Recent media-specific migration acceleration work; full text still not reviewed","Watch for final related work"
5,A,client-browser,"Chromium QuicChromiumClientSession migration hooks",2026,"Chromium source",https://chromium.googlesource.com/chromium/src/+/refs/heads/main/net/quic/quic_chromium_client_session.h,"MigrateToSocket plus NetworkChangeNotifier callbacks and path-degrading migration hooks exist in Chrome's QUIC client session","Use to argue browser primitive/policy hooks exist but must be tested at runtime"
5,A,client-browser,"Chromium QUIC NetLog migration event types",2026,"Chromium source",https://chromium.googlesource.com/chromium/src/+/HEAD/net/log/net_log_event_type_list.h,"NetLog defines migration mode, trigger, success, failure, probing, and network notification events","Use to justify classifier requiring trigger/success/path evidence rather than mode-only evidence"
5,A,client-browser,"Cronet disables network-change migration by default in URLRequestContextConfig",2026,"Chromium source",https://chromium.googlesource.com/chromium/src/+/refs/heads/main/components/cronet/url_request_context_config.cc,"Cronet sets goaway on IP change false but explicitly sets migrate_sessions_on_network_change_v2=false when QUIC is enabled","Use to explain why app/client runtime policy can suppress CM even when QUIC supports it"
5,A,standard,"HTTP/3 RFC 9114 endpoint discovery and Alt-Svc",2022,"RFC 9114",https://datatracker.ietf.org/doc/html/rfc9114,"HTTP/3 endpoint discovery is separate from QUIC transport capability; clients need to learn an HTTP/3 endpoint before opening QUIC","Use to justify natural Alt-Svc control before browser migration tests"
5,B,implementation-doc,"quic-go HTTP/3 Alt-Svc advertisement guide",2026,"quic-go docs",https://quic-go.net/docs/http3/server/,"Documents advertising HTTP/3 through Alt-Svc and notes clients may decide to use QUIC on the next request","Use as implementation guidance for local natural-H3 control harness"
6,A,experiment-design,"An Analysis of QUIC Connection Migration in the Wild",2025,"ACM CCR / arXiv",https://arxiv.org/html/2410.06066v1,"Internet-wide CM support is uneven; failure reasons include implementation gaps, LB routing, firewalls, and disabled migration but are not fully classified","Use as anchor for failure-layer taxonomy and controlled public deployment tests"
6,A,application-continuity,"EnCoR: An end-to-end architecture for simplifying cellular networks",2026,"arXiv preprint",https://arxiv.org/html/2605.22524v2,"QUIC end-to-end mobility can fail in client-silent edge cases after mobility because implicit detection may not happen promptly","Add downlink-dominant silent-client and post-change heartbeat workload variants"
6,B,taxonomy,"Connection Migration in QUIC",2020,"Expired IETF Internet-Draft",https://datatracker.ietf.org/doc/html/draft-tan-quic-connection-migration-00,"Taxonomy for active/passive, vertical/horizontal, client/server, and single/multipath migration","Use terminology carefully while noting non-normative expired status"
6,A,deployment,"HTTP/3 explained",2026,"Living HTTP/3 reference",https://http.dev/3,"Alt-Svc/HTTPS RR discovery, fallback, UDP blocking, and CDN support explain why browser application H3 must be gated before CM tests","Use to justify public origin readiness and application H3 baseline gates"
6,B,observability,"HTTP/3 Practical Deployment Options",2021,"Smashing Magazine",https://www.smashingmagazine.com/2021/09/http3-practical-deployment-options-part3/,"High-level HTTP/3 tooling can mislead; qlog/qvis/Wireshark and browser-specific artifacts are needed","Use to justify qlog/NetLog/client-path-snapshot evidence chain"
6,A,implementation-docs,"quic-go Connection Migration documentation",2026,"quic-go Docs",https://quic-go.net/docs/quic/connection-migration/,"Documents AddPath/Probe/Switch and NAT rebinding behavior; application transparency is a transport claim","Use to separate local positive control from browser/deployment continuity"
